 order_count | num_customers 
-------------+---------------
           0 |         49996
           1 |            17
           2 |           134
           3 |           389
           4 |          1007
           5 |          1915
           6 |          3270
           7 |          4612
           8 |          5876
           9 |          6577
          10 |          6586
          11 |          6026
          12 |          5657
          13 |          5000
          14 |          4469
          15 |          4459
          16 |          4360
          17 |          4492
          18 |          4486
          19 |          4779
          20 |          4563
          21 |          4170
          22 |          3744
          23 |          3190
          24 |          2714
          25 |          2127
          26 |          1685
          27 |          1218
          28 |           875
          29 |           607
          30 |           416
          31 |           218
          32 |           147
          33 |            81
          34 |            52
          35 |            34
          36 |            23
          37 |             8
          38 |             4
          39 |             3
          40 |             5
          41 |             2
          44 |             1
          46 |             1
          48 |             1
          50 |             1
          52 |             1
          54 |             1
          66 |             1
(49 rows)

