 s_suppkey |       s_name       | l_partkey | qty_shipped 
-----------+--------------------+-----------+-------------
        33 | Supplier33         |     10032 |          26
        33 | Supplier#000000033 |     10032 |          26
        74 | Supplier#000000074 |    187555 |           1
       114 | Supplier#000000114 |    120113 |          24
       167 | Supplier#000000167 |    175132 |          19
       188 | Supplier#000000188 |     65175 |          85
       357 | Supplier#000000357 |     62838 |          28
       379 | Supplier#000000379 |    145350 |          21
       379 | Supplier#000000379 |    170378 |          36
       379 | Supplier#000000379 |    190378 |          13
       380 | Supplier#000000380 |    180379 |          72
       399 | Supplier#000000399 |    155368 |           6
       445 | Supplier#000000445 |    150444 |          28
       472 | Supplier#000000472 |     62953 |          37
       472 | Supplier#000000472 |    190471 |          25
       496 | Supplier#000000496 |    172944 |           9
       500 | Supplier#000000500 |    130499 |          26
       578 | Supplier#000000578 |    185541 |          46
       602 | Supplier#000000602 |     23095 |          42
       633 | Supplier#000000633 |     15630 |          80
       659 | Supplier#000000659 |     63140 |          27
       718 | Supplier#000000718 |    103187 |          27
       762 | Supplier#000000762 |     10761 |          15
       788 | Supplier#000000788 |    128275 |          58
       821 | Supplier#000000821 |      5820 |          45
       846 | Supplier#000000846 |     40845 |          46
       889 | Supplier#000000889 |    103358 |           4
       918 | Supplier#000000918 |    105897 |          15
       920 | Supplier#000000920 |    168403 |          23
       977 | Supplier#000000977 |     65964 |          48
       977 | Supplier#000000977 |     80976 |          28
       977 | Supplier#000000977 |    175942 |          33
      1007 | Supplier#000001007 |     95988 |          64
      1007 | Supplier#000001007 |    125982 |          35
      1047 | Supplier#000001047 |     36040 |          74
      1047 | Supplier#000001047 |     56036 |          54
      1053 | Supplier#000001053 |    196014 |          29
      1054 | Supplier#000001054 |     86037 |          13
      1120 | Supplier#000001120 |      1119 |          65
      1122 | Supplier#000001122 |     48617 |         120
      1152 | Supplier#000001152 |     13648 |          54
      1152 | Supplier#000001152 |     68645 |          25
      1161 | Supplier#000001161 |     11160 |          39
      1251 | Supplier#000001251 |     78743 |           9
      1347 | Supplier#000001347 |     26342 |          17
      1347 | Supplier#000001347 |     78839 |          30
      1356 | Supplier#000001356 |     23849 |          30
      1356 | Supplier#000001356 |    136329 |          47
      1390 | Supplier#000001390 |      1389 |          22
      1390 | Supplier#000001390 |    196351 |          32
      1435 | Supplier#000001435 |     21434 |          10
      1456 | Supplier#000001456 |    148941 |          57
      1534 | Supplier#000001534 |     91533 |          68
      1534 | Supplier#000001534 |    159018 |          36
      1724 | Supplier#000001724 |    199204 |          29
      1916 | Supplier#000001916 |    119404 |          49
      1944 | Supplier#000001944 |    131943 |          52
      1951 | Supplier#000001951 |    196912 |          53
      2039 | Supplier#000002039 |      4538 |          46
      2056 | Supplier#000002056 |    162055 |           7
      2095 | Supplier#000002095 |     64576 |          26
      2160 | Supplier#000002160 |    189641 |          12
      2256 | Supplier#000002256 |    132255 |          47
      2344 | Supplier#000002344 |      7343 |          39
      2452 | Supplier#000002452 |    124915 |           7
      2452 | Supplier#000002452 |    187415 |          16
      2540 | Supplier#000002540 |     42539 |          47
      2540 | Supplier#000002540 |    172539 |          61
      2596 | Supplier#000002596 |     65077 |          17
      2615 | Supplier#000002615 |     12614 |          69
      2647 | Supplier#000002647 |    172646 |          31
      2717 | Supplier#000002717 |    197678 |          37
      2917 | Supplier#000002917 |    105386 |          10
      2990 | Supplier#000002990 |     97971 |          31
      3014 | Supplier#000003014 |    190494 |           2
      3063 | Supplier#000003063 |    173062 |          17
      3075 | Supplier#000003075 |    138048 |           3
      3101 | Supplier#000003101 |     60594 |           7
      3267 | Supplier#000003267 |    170749 |          72
      3294 | Supplier#000003294 |    115760 |          84
      3335 | Supplier#000003335 |    193334 |          44
      3372 | Supplier#000003372 |     80863 |          12
      3374 | Supplier#000003374 |     50868 |          39
      3519 | Supplier#000003519 |     56003 |         138
      3519 | Supplier#000003519 |    125982 |          66
      3548 | Supplier#000003548 |     13547 |          18
      3548 | Supplier#000003548 |    123547 |          44
      3583 | Supplier#000003583 |     81074 |          24
      3583 | Supplier#000003583 |    198544 |          69
      3618 | Supplier#000003618 |      6117 |          42
      3675 | Supplier#000003675 |    126138 |          44
      3777 | Supplier#000003777 |    153776 |          43
      4100 | Supplier#000004100 |    144099 |          92
      4112 | Supplier#000004112 |     44111 |          72
      4274 | Supplier#000004274 |    134273 |          59
      4303 | Supplier#000004303 |     64302 |          72
      4321 | Supplier#000004321 |     84320 |          24
      4321 | Supplier#000004321 |    191801 |          56
      4489 | Supplier#000004489 |     51983 |          77
      4489 | Supplier#000004489 |     61982 |          31
      4786 | Supplier#000004786 |    119763 |          17
      4793 | Supplier#000004793 |    192273 |          11
      4829 | Supplier#000004829 |     14828 |          27
      4873 | Supplier#000004873 |     74872 |           2
      4994 | Supplier#000004994 |    162477 |          19
      5042 | Supplier#000005042 |     57526 |          42
      5061 | Supplier#000005061 |    112549 |          36
      5193 | Supplier#000005193 |    120168 |          43
      5236 | Supplier#000005236 |      2735 |          23
      5244 | Supplier#000005244 |    122731 |          52
      5316 | Supplier#000005316 |    142801 |          47
      5347 | Supplier#000005347 |    147804 |          31
      5376 | Supplier#000005376 |    155375 |         148
      5390 | Supplier#000005390 |    192870 |          20
      5413 | Supplier#000005413 |    107882 |          55
      5413 | Supplier#000005413 |    142898 |          24
      5413 | Supplier#000005413 |    147870 |          22
      5413 | Supplier#000005413 |    170378 |          43
      5435 | Supplier#000005435 |    162918 |          84
      5436 | Supplier#000005436 |     92926 |          53
      5583 | Supplier#000005583 |     93073 |          26
      5613 | Supplier#000005613 |     65612 |          47
      5643 | Supplier#000005643 |     88118 |          82
      5697 | Supplier#000005697 |     13195 |          80
      5774 | Supplier#000005774 |     45773 |          60
      5808 | Supplier#000005808 |      8307 |          25
