     nation     | l_year |     profit     
----------------+--------+----------------
 ALGERIA        |   1998 |  77384813.8064
 ALGERIA        |   1997 |  97036210.5946
 ALGERIA        |   1996 |  99284041.9836
 ALGERIA        |   1995 |  93930194.1834
 ALGERIA        |   1994 |  95148123.6700
 ALGERIA        |   1993 |  97071518.1992
 ALGERIA        |   1992 |  84874805.2174
 ARGENTINA      |   1998 |  77111537.7678
 ARGENTINA      |   1997 | 101700497.2142
 ARGENTINA      |   1996 |  99165220.2956
 ARGENTINA      |   1995 | 103297129.6828
 ARGENTINA      |   1994 | 103269193.0502
 ARGENTINA      |   1993 | 102933879.6232
 ARGENTINA      |   1992 |  79245922.8776
 BRAZIL         |   1998 |  71927084.6350
 BRAZIL         |   1997 |  94476286.3182
 BRAZIL         |   1996 |  93339700.0832
 BRAZIL         |   1995 |  97107638.2158
 BRAZIL         |   1994 |  91978826.3290
 BRAZIL         |   1993 | 100668495.0684
 BRAZIL         |   1992 |  76202797.2940
 CANADA         |   1998 |  76271842.5968
 CANADA         |   1997 |  99400442.1662
 CANADA         |   1996 |  97365376.1272
 CANADA         |   1995 | 101342781.7850
 CANADA         |   1994 |  99265925.5792
 CANADA         |   1993 | 102296596.0032
 CANADA         |   1992 |  87030654.2976
 CHINA          |   1998 |  34719392.6527
 CHINA          |   1997 |  47201553.6177
 CHINA          |   1996 |  47984432.3561
 CHINA          |   1995 |  46387858.5805
 CHINA          |   1994 |  47914118.1569
 CHINA          |   1993 |  45528379.2723
 CHINA          |   1992 |  39838354.8766
 EGYPT          |   1998 |  78034715.7282
 EGYPT          |   1997 | 102568996.5834
 EGYPT          |   1996 | 102254624.6798
 EGYPT          |   1995 | 101386794.2204
 EGYPT          |   1994 | 105621717.8132
 EGYPT          |   1993 | 104737985.9106
 EGYPT          |   1992 |  83365553.7112
 ETHIOPIA       |   1998 |  68615841.7112
 ETHIOPIA       |   1997 |  96326259.5098
 ETHIOPIA       |   1996 |  86907742.3996
 ETHIOPIA       |   1995 |  96542181.2042
 ETHIOPIA       |   1994 |  89030669.3516
 ETHIOPIA       |   1993 |  93539828.8238
 ETHIOPIA       |   1992 |  79135018.7842
 FRANCE         |   1998 |  67574749.7716
 FRANCE         |   1997 |  97095560.7170
 FRANCE         |   1996 |  90155537.4120
 FRANCE         |   1995 |  91141905.0424
 FRANCE         |   1994 |  93103077.5164
 FRANCE         |   1993 |  91162119.3588
 FRANCE         |   1992 |  79567580.4674
 GERMANY        |   1998 |  68352548.1002
 GERMANY        |   1997 |  93374133.8954
 GERMANY        |   1996 |  90073635.8280
 GERMANY        |   1995 |  89647189.8224
 GERMANY        |   1994 |  89744517.5914
 GERMANY        |   1993 |  93708398.0684
 GERMANY        |   1992 |  77936735.0094
 INDIA          |   1998 |  72335202.5318
 INDIA          |   1997 |  98710592.6968
 INDIA          |   1996 | 101962174.7636
 INDIA          |   1995 |  94299563.7138
 INDIA          |   1994 |  96137285.5732
 INDIA          |   1993 |  93859624.2724
 INDIA          |   1992 |  77187135.4990
 INDONESIA      |   1998 |  76280297.5700
 INDONESIA      |   1997 |  97853107.3788
 INDONESIA      |   1996 | 100545832.8162
 INDONESIA      |   1995 | 102340687.8456
 INDONESIA      |   1994 | 102384014.6024
 INDONESIA      |   1993 |  99767121.8254
 INDONESIA      |   1992 |  83213845.1362
 IRAN           |   1998 |  37197250.0562
 IRAN           |   1997 |  48540995.5560
 IRAN           |   1996 |  50921792.5894
 IRAN           |   1995 |  48744492.3289
 IRAN           |   1994 |  49720429.5367
 IRAN           |   1993 |  50185090.3789
 IRAN           |   1992 |  40720801.8975
 IRAQ           |   1998 |  39002192.7615
 IRAQ           |   1997 |  50079247.0362
 IRAQ           |   1996 |  51131040.4341
 IRAQ           |   1995 |  50970357.3179
 IRAQ           |   1994 |  50755789.2005
 IRAQ           |   1993 |  48768109.4441
 IRAQ           |   1992 |  39805932.6744
 JAPAN          |   1998 |  34297428.5184
 JAPAN          |   1997 |  45036678.4336
 JAPAN          |   1996 |  45752249.5403
 JAPAN          |   1995 |  43730482.2661
 JAPAN          |   1994 |  46355293.9057
 JAPAN          |   1993 |  43203772.9932
 JAPAN          |   1992 |  37554109.3762
 JORDAN         |   1998 |  31093944.7939
 JORDAN         |   1997 |  43372702.3948
 JORDAN         |   1996 |  42449648.1854
 JORDAN         |   1995 |  41232251.6399
 JORDAN         |   1994 |  44081231.4799
 JORDAN         |   1993 |  44003465.0901
 JORDAN         |   1992 |  36807473.2787
 KENYA          |   1998 |  32269822.1978
 KENYA          |   1997 |  42199627.2438
 KENYA          |   1996 |  44153590.9082
 KENYA          |   1995 |  43405587.6367
 KENYA          |   1994 |  44226697.2444
 KENYA          |   1993 |  40639442.8232
 KENYA          |   1992 |  36695119.5818
 MOROCCO        |   1998 |  35409276.7789
 MOROCCO        |   1997 |  46229889.2307
 MOROCCO        |   1996 |  44711739.9718
 MOROCCO        |   1995 |  45934398.8336
 MOROCCO        |   1994 |  44166399.4958
 MOROCCO        |   1993 |  45865685.3043
 MOROCCO        |   1992 |  37430110.1703
 MOZAMBIQUE     |   1998 |  35545666.3260
 MOZAMBIQUE     |   1997 |  48615477.4221
 MOZAMBIQUE     |   1996 |  47927719.4973
 MOZAMBIQUE     |   1995 |  47451391.5447
 MOZAMBIQUE     |   1994 |  45460314.0973
 MOZAMBIQUE     |   1993 |  47819807.9329
 MOZAMBIQUE     |   1992 |  38828708.0385
 Nation1        |   1998 |  38555768.8839
 Nation1        |   1997 |  50850248.6071
 Nation1        |   1996 |  49582610.1478
 Nation1        |   1995 |  51648564.8414
 Nation1        |   1994 |  51634596.5251
 Nation1        |   1993 |  51466939.8116
 Nation1        |   1992 |  39622961.4388
 Nation10       |   1998 |  37197250.0562
 Nation10       |   1997 |  48540995.5560
 Nation10       |   1996 |  50921792.5894
 Nation10       |   1995 |  48744492.3289
 Nation10       |   1994 |  49720429.5367
 Nation10       |   1993 |  50185090.3789
 Nation10       |   1992 |  40720801.8975
 Nation11       |   1998 |  39002192.7615
