       s_name       | numwait 
--------------------+---------
 Supplier#000000002 |      48
 Supplier#000007738 |      42
 Supplier#000002595 |      36
 Supplier#000004536 |      36
 Supplier#000005372 |      36
 Supplier#000006322 |      36
 Supplier#000009887 |      36
 Supplier#000000526 |      34
 Supplier#000002346 |      34
 Supplier#000004368 |      34
 Supplier#000006476 |      34
 Supplier#000001817 |      32
 Supplier#000002147 |      32
 Supplier#000002153 |      32
 Supplier#000003881 |      32
 Supplier#000004681 |      32
 Supplier#000006051 |      32
 Supplier#000006813 |      32
 Supplier#000007505 |      32
 Supplier#000008142 |      32
 Supplier#000008217 |      32
 Supplier#000000464 |      30
 Supplier#000000910 |      30
 Supplier#000001114 |      30
 Supplier#000001230 |      30
 Supplier#000001593 |      30
 Supplier#000003221 |      30
 Supplier#000004039 |      30
 Supplier#000005675 |      30
 Supplier#000005923 |      30
 Supplier#000006386 |      30
 Supplier#000008291 |      30
 Supplier#000008466 |      30
 Supplier#000008917 |      30
 Supplier#000009205 |      30
 Supplier#000009856 |      30
 Supplier#000000132 |      28
 Supplier#000000393 |      28
 Supplier#000001737 |      28
 Supplier#000002414 |      28
 Supplier#000003238 |      28
 Supplier#000003536 |      28
 Supplier#000003939 |      28
 Supplier#000003948 |      28
 Supplier#000004249 |      28
 Supplier#000004929 |      28
 Supplier#000005784 |      28
 Supplier#000006081 |      28
 Supplier#000006411 |      28
 Supplier#000006606 |      28
 Supplier#000007469 |      28
 Supplier#000008328 |      28
 Supplier#000000723 |      26
 Supplier#000001250 |      26
 Supplier#000001792 |      26
 Supplier#000001861 |      26
 Supplier#000001970 |      26
 Supplier#000002186 |      26
 Supplier#000002217 |      26
 Supplier#000002580 |      26
 Supplier#000002979 |      26
 Supplier#000003103 |      26
 Supplier#000003155 |      26
 Supplier#000003197 |      26
 Supplier#000003447 |      26
 Supplier#000003464 |      26
 Supplier#000003872 |      26
 Supplier#000003920 |      26
 Supplier#000004340 |      26
 Supplier#000004419 |      26
 Supplier#000004790 |      26
 Supplier#000004801 |      26
 Supplier#000005473 |      26
 Supplier#000005648 |      26
 Supplier#000005740 |      26
 Supplier#000006538 |      26
 Supplier#000006678 |      26
 Supplier#000007319 |      26
 Supplier#000007735 |      26
 Supplier#000008307 |      26
 Supplier#000009153 |      26
 Supplier#000009203 |      26
 Supplier#000009259 |      26
 Supplier#000009671 |      26
 Supplier#000000434 |      24
 Supplier#000001164 |      24
 Supplier#000001531 |      24
 Supplier#000002353 |      24
 Supplier#000002461 |      24
 Supplier#000002635 |      24
 Supplier#000003157 |      24
 Supplier#000003218 |      24
 Supplier#000003326 |      24
 Supplier#000004032 |      24
 Supplier#000004591 |      24
 Supplier#000004626 |      24
 Supplier#000004706 |      24
 Supplier#000005270 |      24
 Supplier#000005380 |      24
 Supplier#000005970 |      24
(100 rows)

