     nation     | o_year |   sum_profit   
----------------+--------+----------------
 ALGERIA        |   1998 |  59338781.2378
 ALGERIA        |   1997 |  99131512.4302
 ALGERIA        |   1996 |  99803558.5674
 ALGERIA        |   1995 |  92016575.9912
 ALGERIA        |   1994 |  98007548.4852
 ALGERIA        |   1993 |  96127190.6326
 ALGERIA        |   1992 | 100304540.3102
 ARGENTINA      |   1998 |  59347698.6578
 ARGENTINA      |   1997 | 103522382.0978
 ARGENTINA      |   1996 |  99232274.5982
 ARGENTINA      |   1995 | 101995805.9630
 ARGENTINA      |   1994 | 102774813.0154
 ARGENTINA      |   1993 | 103261455.5876
 ARGENTINA      |   1992 |  96588950.5916
 BRAZIL         |   1998 |  55725385.3176
 BRAZIL         |   1997 |  94978555.1414
 BRAZIL         |   1996 |  93634941.5866
 BRAZIL         |   1995 |  95319876.0914
 BRAZIL         |   1994 |  93858886.0246
 BRAZIL         |   1993 |  98191319.4684
 BRAZIL         |   1992 |  93991864.3136
 CANADA         |   1998 |  58423679.0188
 CANADA         |   1997 | 100053908.5540
 CANADA         |   1996 |  98852112.2682
 CANADA         |   1995 | 100045286.6880
 CANADA         |   1994 |  99909354.7230
 CANADA         |   1993 | 102093930.2734
 CANADA         |   1992 | 103694365.8506
 CHINA          |   1998 |  26984695.0885
 CHINA          |   1997 |  47664081.9062
 CHINA          |   1996 |  47330086.8747
 CHINA          |   1995 |  47191479.0198
 CHINA          |   1994 |  47051152.7078
 CHINA          |   1993 |  45628657.3327
 CHINA          |   1992 |  47723936.5831
 EGYPT          |   1998 |  60425313.1758
 EGYPT          |   1997 | 105659832.4912
 EGYPT          |   1996 |  99720699.4040
 EGYPT          |   1995 | 102607340.1652
 EGYPT          |   1994 | 105220831.7490
 EGYPT          |   1993 | 102631252.8410
 EGYPT          |   1992 | 101705118.8206
 ETHIOPIA       |   1998 |  52708527.8080
 ETHIOPIA       |   1997 |  97915103.8744
 ETHIOPIA       |   1996 |  87311017.1238
 ETHIOPIA       |   1995 |  94198184.8058
 ETHIOPIA       |   1994 |  91991046.4160
 ETHIOPIA       |   1993 |  91100770.4330
 ETHIOPIA       |   1992 |  94872891.3234
 FRANCE         |   1998 |  52508338.8504
 FRANCE         |   1997 |  94477755.4524
 FRANCE         |   1996 |  93021779.2208
 FRANCE         |   1995 |  90524295.5260
 FRANCE         |   1994 |  94001410.0242
 FRANCE         |   1993 |  92078640.9946
 FRANCE         |   1992 |  93188310.2172
 GERMANY        |   1998 |  54138786.1988
 GERMANY        |   1997 |  92474661.6414
 GERMANY        |   1996 |  90701311.9210
 GERMANY        |   1995 |  89063441.5692
 GERMANY        |   1994 |  90359602.7776
 GERMANY        |   1993 |  90318136.6574
 GERMANY        |   1992 |  95788745.1642
 INDIA          |   1998 |  56937628.5818
 INDIA          |   1997 |  95271149.5878
 INDIA          |   1996 | 105065369.0924
 INDIA          |   1995 |  93917441.2314
 INDIA          |   1994 |  96005746.4922
 INDIA          |   1993 |  95306050.5690
 INDIA          |   1992 |  91988193.4960
 INDONESIA      |   1998 |  59101789.5580
 INDONESIA      |   1997 |  99109318.7864
 INDONESIA      |   1996 |  98949101.9718
 INDONESIA      |   1995 | 102923983.1044
 INDONESIA      |   1994 | 101478788.1572
 INDONESIA      |   1993 | 102149351.1102
 INDONESIA      |   1992 |  98764055.5906
 IRAN           |   1998 |  28786710.0335
 IRAN           |   1997 |  48069126.1225
 IRAN           |   1996 |  50519826.7868
 IRAN           |   1995 |  50574054.3168
 IRAN           |   1994 |  48757199.3742
 IRAN           |   1993 |  49383727.9308
 IRAN           |   1992 |  49940207.7790
 IRAQ           |   1998 |  31011472.6973
 IRAQ           |   1997 |  49383201.1759
 IRAQ           |   1996 |  51545890.3522
 IRAQ           |   1995 |  51206538.1176
 IRAQ           |   1994 |  51141449.5359
 IRAQ           |   1993 |  48166905.8622
 IRAQ           |   1992 |  48106720.5380
 JAPAN          |   1998 |  26220884.2759
 JAPAN          |   1997 |  45119847.0199
 JAPAN          |   1996 |  46632146.5670
 JAPAN          |   1995 |  43854941.0327
 JAPAN          |   1994 |  45661984.0268
 JAPAN          |   1993 |  42551927.8099
 JAPAN          |   1992 |  45888284.3013
 JORDAN         |   1998 |  25104721.0412
 JORDAN         |   1997 |  42786845.2325
